Titre,Type_relation,Concept_of_type_relation,Clean_Paragraphe,Bart Summary,Keywords,Synonyms,Process_name,MOST RELEVANT,figures
 swot analysis,instance of,brainstorming,swot analysis identi es four characteristics of a given situation strengths weaknesses opportunities and threats the technique is commonly used in strategic decision making it can be adapted for risk identi cation by changing the interpretation of the four perspectives such that strengths and weaknesses relate to the characteristics of the organization conducting the project and opportunities and threats identify the project risks the technique is particularly useful for identifying internallygenerated risks arising from within the organization for example opportunities might be found by leveraging organizational strengths or threats might arise as a result of organizational weaknesses as illustrated below figure d example of a swot analysis structure,SWOT Analysis is commonly used in strategic decision making. It can be adapted for risk identiﬁ cation by changing the interpretation of the four perspectives. It is particularly useful for identifying internally-generated risks.,['swot analysis identi es four characteristics' 'swot analysis structure' 'risk identi cation' 'strategic decision making' 'generated risks arising' 'threats might arise' 'leveraging organizational strengths' 'example opportunities might' 'four perspectives' 'organizational weaknesses' 'threats identify' 'project risks' 'particularly useful' 'identifying internally' 'given situation' 'figure d' 'commonly used' 'weaknesses relate' 'organization conducting' 'characteristics' 'threats' 'example' 'weaknesses' 'strengths' 'strengths' 'opportunities' 'opportunities' 'project' 'organization' 'within' 'technique' 'technique' 'result' 'interpretation' 'illustrated' 'found' 'changing' 'adapted'],"d.2.1.19 system dynamics, d.2.1.20 wbs review, d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.2 expected monetary value, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",examples analysis,"weakness, strength, swot, threat, opportunity, arise, characteristic, organizational, organization, technique",
 system ynamics,instance of,brainstorming,system dynamics sd is a particular application of in uence diagrams see above and can be used to identify risks within a project situation the sd model represents entities and information ows within a project and analysis of the model can reveal feedback and feedforward loops which lead to uncertainty or instability in addition the results of an sd analysis can show the impact of risk events on overall project results such as the cost or schedule results to be expected analyses of changes in the model or assumptions can indicate the systems sensitivity to speci c events some of which may be risks a simple example of an sd diagram is shown in figure d figure d example of a simple system dynamics model with feedback loops,"System dynamics (SD) is a particular application of inﬂ uence diagrams (see above), and can be used to identify risks within a project situation. The SD model represents entities and information within a project, and analysis of the model can reveal feed-back and feed-forward loops which lead to uncertainty or instability.",['information ows within' 'sd model represents entities' 'simple system dynamics model' 'in uence diagrams' 'speci c events' 'identify risks within' 'overall project results' 'system dynamics' 'system ' 'simple example' 'risk events' 'sd diagram' 'schedule results' 'project situation' 'particular application' 'forward loops' 'figure d' 'figure d' 'feedback loops' 'sd analysis' 'reveal feed' 'model' 'model' 'sd' 'risks' 'results' 'project' 'feed' 'example' 'analysis' 'used' 'uncertainty' 'shown' 'show' 'sensitivity' 'see' 'may' 'lead' 'instability' 'indicate' 'impact' 'expected' 'cost' 'changes' 'back' 'assumptions' 'analyses' 'addition' ''],"d.2.1.20 wbs review, d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.1 contingency planning, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",results system,"sd, model, loop, dynamic, feedback, simple, diagram, result, analysis, event",
 wbs review,instance of,brainstorming,the work breakdown structure wbs for a project can form a framework for a number of other risk identi cation techniques such as brainstorming risk interviews checklists or prompt lists no templates or examples are presented,"The work breakdown structure (WBS) for a project can form a framework for a number of other risk identiﬁ cation techniques, such as brainstorming, risk interviews, checklists or prompt lists.",['risk identi cation techniques' 'work breakdown structure' 'risk interviews' 'prompt lists' 'wbs' 'templates' 'project' 'presented' 'number' 'framework' 'form' 'examples' 'checklists' 'brainstorming'],"d.3  techniques, examples and templates for perform qualitative risk, d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.1 contingency planning, d.5.1.2 contingency reserve estimation, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.6 variance analysis",avoid ie,"wb, brainstorm, checklist, prompt, number, framework, interview, work, form, breakdown",
 techniques examples and templates for perform qualitative risk,instance of,brainstorming,analysis chapter perform qualitative risk analysis prioritizes for further analysis or handling the undifferentiated list of risks that have been identi ed in the identify risks process organizations tend to apply resources to those designated as high risk based on their priority often indicated by the risks probability and impact characteristics,"Organizations tend to apply resources to those designated as “high risk,” based on their priority. The priority is often indicated by the risks’ probability and impact characteristics.",[' high risk based' 'perform qualitative risk analysis prioritizes' 'risks probability' 'identify risks process' 'undifferentiated list' 'organizations tend' 'often indicated' 'impact characteristics' 'identi ed' 'chapter ' 'apply resources' 'risks' 'analysis' 'analysis' 'priority' 'handling' 'designated'],"d.3.1 techniques for perform qualtitative risk analysis, d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.6 variance analysis",qualitative details,"analysis, risk, undifferentiated, designate, handle, prioritize, indicate, characteristic, high, priority",
 techniques for perform qualtitative risk analysis,facet of,identify risks process,example of approaches are given in table d and d through d table d techniques for perform qualitative risk analysis technique strengths weaknesses csfs for effective application root cause analysis see chapter estimating techniques applied to probability and impacts addresses both key dimensions of a risk namely its degree of uncertainty expressed as probability and its effect on project objectives expressed as impact dif cult to calibrate if there is no historical database of similar events terms for probability eg probable almost certain and for impact eg insigni cant major are ambiguous and subjective impacts can be uncertain or represented by a range of values that cannot be put into a speci c impact level such as moderate impact on time agreed de nitions of probability and impacts which re ect stakeholders risk tolerances and thresholds values used in the de nitions represent the same level of impact across objectives as perceived by the organizations management or project stakeholders consistent use of these de nitions across all identi ed risks technique strengths weaknesses csfs for effective application access to smes who have experience with the type of risk postproject reviews lessons learned historical information see chapter probability and impact matrix pi matrix allows the organization to prioritize the project risks for further analysis eg quantitative or risk response re ects the organizations level of risk tolerance does not explicitly handle other factors such as urgency or manageability that may partly determine a risks ranking the range of uncertainty in the assessment of a risks probability or impact may overlap a boundary p i matrix requires that the input data are clear and unambiguous in assigning levels of probability and impact effective estimation of impact and likelihood as outlined previously organizations should be careful to assess the combinations of probability and impact that qualify a risk as low moderate or high risk so that the method used re ects the organizations risk attitude de nitions used to designate the levels of impact l m h for each objective should represent the same level of impact as perceived by the organizations management or project stakeholders as re ecting the organizations utility function continued table d techniques for perform qualitative risk analysis continued technique strengths weaknesses csfs for effective application analytic hierarchy process assists in developing a relative weighting for project objectives that re ects the organizations priorities for time cost scope and quality for the project assists the creation of an overall project priority list of risks created from the risks priority with respect to individual objectives organizational decisions are often made by committees and individuals may not agree on relative priority among objectives dif cult to gather the information about pairwise comparison of the objectives from highlevel management expert facilitator in the process agreement by management that it is useful to develop a consistent set of priorities among objectives use of proper method or available ahp software rootcause analysis see chapter,Example of approaches are given in Table D3 and D.3.1. Techniques for Perform Qualitative Risk Analysis. CSFs For Effective. Root Cause Analysis. Estimating techniques.,['effective application root cause analysis see chapter estimating techniques' 'perform qualitative risk analysis technique strengths weaknesses csfs' 'cause analysis see chapter ' 'identi ed risks technique strengths weaknesses csfs' 'historical information see chapter probability' 'effective application analytic hierarchy process assists' 'time agreed de nitions ' 're ect stakeholders risk tolerances' 'technique strengths weaknesses csfs' 'relative priority among objectives dif cult' 'perform qualitative risk analysis' 'risk attitude de nitions used' 'individual objectives organizational decisions' 'available ahp software root' 'overall project priority list' 'effective application access' 'priorities among objectives use' 'method used re ects' 'risk response re ects' 'project stakeholders consistent use' 'boundary p ' 'speci c impact level' 'level management expert facilitator' 'de nitions across' 'impact effective estimation' 'de nitions represent' 'risks priority' 'thresholds values used' 'similar events terms' 'outlined previously organizations' 'proper method ' 'may partly determine' 'impact across objectives' ' key dimensions' 'explicitly handle' 'dif cult' 'impact may overlap' 'g quantitative' ' moderate impact' ' organization ' 're ects' ' information' 'project stakeholders' 'project assists' 'historical database' 'relative weighting' 'project risks' 'process agreement' 'risk ' 'risk ' 'analysis' 'project objectives' 'project objectives' 're ecting' 'risks created' 'risk tolerance' 'risk post' 'consistent set' 'high risk' 'organization ' 'organization ' 'organization ' 'organization ' 'organization ' 'individuals may' 'project reviews' 'organization ' ' impact' ' management' ' designate' 'developing ' 'creation ' 'probability ' 'wise comparison' 'utility function' 'techniques' 'techniques' 'table d' 'table d' 'table d' 'often made' 'lessons learned' 'insigni cant' 'input data' 'almost certain' ' uncertainty' 'impact matrix' 'matrix requires' 'time' 'assigning levels' 'subjective impacts' 'objectives' 'risk' 'risk' 'priorities' 'p' '' '' '' '' '' '' '' 'level' 'level' 'level' 'impact' 'impact' 'impact' 'impact' 'impact' 'values' 'represent' 'moderate' 'management' 'management' 'probability' 'probability' 'probability' 'probability' 'probability' 'probability' 'matrix' 'g' 'g' 'uncertainty' 'levels' 'high' 'impacts' 'impacts' 'useful' 'urgency' 'uncertain' 'unambiguous' 'type' 'smes' 'scope' 'respect' 'represented' 'ranking' 'range' 'range' 'quality' 'qualify' 'put' 'probable' 'prioritize' 'perceived' 'perceived' 'pair' 'objective' 'namely' 'manageability' 'major' 'low' 'likelihood' 'l' 'h' 'given' 'gather' 'factors' 'expressed' 'expressed' 'experience' 'example' 'effect' 'e' 'e' 'e' 'develop' 'degree' 'cost' 'continued' 'continued' 'committees' 'combinations' 'clear' 'careful' 'cannot' 'calibrate' 'assessment' 'assess' 'approaches' 'applied' 'ambiguous' 'allows' 'agree' 'addresses' '' '' '' '' '' ''],"d.3.1.1 estimating techniques applied to probability and impact, d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.2 expected monetary value, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",risk structure,"impact, probability, organization, objective, ect, risk, priority, level, technique, matrix",
 estimating techniques applied to probability and impact,has part,uncertainty,the probability of a risk occurring can be speci ed in several different ways one common way is to assign levels of risk probability by ranges of probability one bene t of this approach is that the subject matter experts only need to assess a risks probability within a range rather than as a speci c value an example assuming that a probability and impact matrix is desired is shown in figure d where the probability ranges are more tightly de ned at low levels of probability examples of impact level de nitions are very projectspeci c the values used to specify the level of impact from very low to very high if a matrix is being used should be higher impact for threats or opportunities as they move from very low to very high for a speci c objective levels are de ned by the organization as causing the same amount of pain or gain to the project for each level across objectives if a risks possible impact is uncertain and could be assigned to more than one level of impact eg from moderate to high the analyst may choose to assign the risk to the impact level that represents the expected or average impact alternatively the risk may be agged for extra analysis in order to reduce the range of uncertainty to t within a single range an example of impact level de nitions is shown in figure d these de nitions should be tailored or scaled by stakeholders to the speci c project the de nitions appropriately tailored to the project can be used for opportunities and threats table d techniques for perform qualitative risk analysis continued figure d example of definitions for levels of probability and impact on four specific objectives used to evaluate individual risks noteopportunities are to be treated as representing a positive saving in time or cost or increased functionality for threats each impact scale is interpreted negatively ie time delays increased cost or reduced functionality,The probability of a risk occurring can be speciﬁ ed in several different ways. One common way is to assign levels of risk probability by ranges of probability. The values used to specify the level of impact should be from very low to very high (if a 5×5 matrix is being used) If a risk’s possible impact is uncertain the analyst may choose to assign the risk to the impact level that represents the expected or average impact.,['speci c objective levels' ' matrix' ' probability' 'four specific objectives used' 'perform qualitative risk analysis' 'impact level de nitions' 'impact level de nitions' 'speci c value' 'level across objectives' 'subject matter experts' 'several different ways' 'evaluate individual risks' 'analyst may choose' 'tightly de ned' 'one common way' 'speci c project' 'note opportunities' 'speci c' 'de nitions' 'de nitions' 'de ned' 'impact matrix' 'speci ed' 'one level' 'extra analysis' 'impact level' 'risk may' 'one bene' 'risk ' 'risk ' 'risk occurring' 'possible impact' 'impact scale' 'higher impact' 'average impact' ' agged' 'values used' 'table d' 'reduced functionality' 'positive saving' 'interpreted negatively' 'increased functionality' 'figure d' 'figure d' 'figure d' 'assign levels' 'risk probability' 'low levels' 'single range' 'range rather' 'time delays' 'increased cost' 'appropriately tailored' 'probability within' 'probability ranges' 'level' 'levels' '' '' 'risk' 'impact' 'impact' 'impact' 'used' 'used' 'probability' 'probability' 'probability' 'probability' 'range' 'opportunities' 'opportunities' 'within' 'time' 'tailored' 'ranges' 'project' 'project' 'project' 'cost' 'assign' 'low' 'low' '' 'uncertainty' 'uncertain' 'treated' 'threats' 'threats' 'threats' 'techniques' 'stakeholders' 'specify' 'shown' 'shown' 'scaled' 'represents' 'representing' 'reduce' 'pain' 'organization' 'order' 'need' 'move' 'moderate' 'high' 'high' 'high' 'gain' 'g' 'expected' 'examples' 'example' 'example' 'example' 'e' 'e' 'desired' 'definitions' 'could' 'continued' 'causing' 'assuming' 'assigned' 'assess' 'approach' 'amount' 'alternatively'],"d.3.1.2, d.3.1.3 analytic hierarchy process (ahp), d.4  techniques, examples and templates for perform quantitative risk, d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.2 expected monetary value, d.4.1.3 monte carlo simulation, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",applied veri,"impact, level, probability, range, high, nition, low, functionality, assign, speci",
,facet of,risk management,probability and impact matrix organizations typically assess a risks priority on an objective from the combination of probability of occurrence and impact on that project objective using de nitions such as those shown in figure d risks are then placed on a probability and impact pi matrix such as one shown below this matrix includes both threats and opportunities figure d example of probabilityimpact matrix used to sort risks threats and opportunities into high risk h moderate risk m and low risk l classes,"Organizations typically assess a risk’s priority on an objective from the combination of probability of occurrence and impact on that project objective. Risks are then placed on a probability and impact (P-I) matrix, such as one shown below. This matrix includes both threats and opportunities.",['impact matrix organizations typically assess' 'h moderate risk' 'using de nitions' 'impact matrix used' 'matrix includes' 'risk ' 'low risk' 'high risk' 'figure d' 'figure d' 'sort risks' 'project objective' 'one shown' 'matrix' 'impact' 'impact' 'shown' 'risks' 'objective' 'threats' 'threats' 'probability' 'probability' 'probability' 'probability' 'priority' 'placed' 'p' 'opportunities' 'opportunities' 'occurrence' 'l' 'example' 'combination' 'classes'],"d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.3 monte carlo simulation, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.6 variance analysis",,"matrix, probability, impact, risk, threat, opportunity, pi, figure, moderate, objective",
 analytic hierarchy process ahp,instance of,brainstorming,ahp is a method to calibrate preferences for achieving the different objectives of a project do they prefer to achieve time more than cost is quality more important than scope what is the relative weighting of the projects objectives in terms of their priority to the stakeholders or to management the results are weights summing to that re ect the relative priority of each objective this prioritization can be important in determining how tradeoffs affecting different objectives eg should we reduce scope to nish on time will be decided it can also be used to create an overall project risk priority list from risks that have been assessed on their implications for individual objectives specialized software implementing ahp is available a spreadsheet implementation is shown below figure d example of analytic hierarchy process computations to determine the relative weighting of four project objectives,AHP is a method to calibrate preferences for achieving the different objectives of a project. It can also be used to create an overall project risk priority list. Specialized software implementing AHP is available.,['overall project risk priority list' 'analytic hierarchy process computations' 'specialized software implementing ahp' 'offs affecting different objectives' 'four project objectives' 'different objectives' 'project ' 'relative priority' 'individual objectives' ' nish' 'time ' 'spreadsheet implementation' 're ect' 'relative weighting' 'relative weighting' 'g ' 'figure d' 'calibrate preferences' 'achieve time' ' ' 'reduce scope' 'project' 'priority' 'ahp' 'objectives' 'scope' 'weights' 'used' 'trade' 'terms' 'summing' 'stakeholders' 'shown' 'risks' 'results' 'quality' 'prioritization' 'prefer' 'objective' 'method' 'management' 'important' 'important' 'implications' 'example' 'e' 'determining' 'determine' 'decided' 'create' 'cost' 'available' 'assessed' 'also' 'achieving'],"d.4  techniques, examples and templates for perform quantitative risk, d.4.1 techniques for perform quantitative risk analysis, d.4.1.1 decision tree analysis, d.4.1.2 expected monetary value, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.4 status meetings, d.6.1.5 trend analysis",perform process,"objective, relative, ahp, priority, weighting, achieve, different, scope, important, determine",
 techniques examples and templates for perform quantitative risk,instance of,brainstorming,analysis chapter perform quantitative risk analysis seeks to determine the overall risk to project objectives when all risks potentially operate simultaneously on the project it provides answers to several questions how likely is the project to complete on the schedule date or earlier how likely is the project actual cost to be the budgeted cost or less how reliable will the product be that the project produces what is the best decision to make in the face of uncertain results how much contingency in time and cost is needed to provide the organization with its desired degree of con dence in the results how should the design of the product or system be changed most economically to increase its reliability what are the individual risks that seem to be the most important in determining the overall project risk,Quantitative Risk Analysis seeks to determine the overall risk to project objectives. It provides answers to several questions: How likely is the project to complete on the schedule date or earlier? How reliable will the product be?,['perform quantitative risk analysis seeks' 'risks potentially operate simultaneously' 'project actual cost ' ' con dence' 'overall project risk' 'overall risk' 'individual risks' 'budgeted cost' 'project produces' 'project objectives' 'several questions' 'schedule date' 'provides answers' 'much contingency' 'desired degree' 'chapter ' 'best decision' 'uncertain results' 'analysis' '' 'cost' 'project' 'project' 'results' 'time' 'system' 'seem' 'reliable' 'reliability' 'provide' 'product' 'product' 'organization' 'needed' 'make' 'likely' 'likely' 'less' 'increase' 'important' 'face' 'economically' 'earlier' 'determining' 'determine' 'design' 'complete' 'changed'],"d.4.1 techniques for perform quantitative risk analysis, d.5.1.4 scenario analysis, d.6.1.1 reserve analysis, d.6.1.5 trend analysis",risk structure,"likely, product, project, cost, risk, determine, overall, reliable, result, provide",
 techniques for perform quantitative risk analysis,facet of,identify risks process,examples of techniques for perform quantitative risk analysis are found shown in table d and details are given in d through d technique strengths weaknesses csfs for effective application decision tree analysis causes the organization to structure the costs and bene ts of decisions when the results are determined in part by uncertainty and risk solution of the decision tree helps select the decision that provides the highest expected monetary value or expected utility to the organization it is sometimes dif cult to create the decision structure probabilities of occurrences can be dif cult to quantify in the absence of historical data the best decision may change with relatively plausible changes in the input data meaning that the answer may not be stable the organization may not make decisions based on a linear expected monetary value basis but rather on a nonlinear utility function utility functions are dif cult to specify careful structuring of the decision tree all alternative decisions that are materially different should be considered decision trees should be speci ed completely access to highquality data about probability cost and reward for the decisions and events speci ed using historical information or judgment of experts use of a utility function that has been validated with the organizations decision makers continued technique strengths weaknesses csfs for effective application the organization may not make decisions based on a linear expected monetary value basis but rather on a nonlinear utility function utility functions are dif cult to specify decision tree analysis of complicated situations requires specialized though available software there may be some resistance to using technical approaches to decisionmaking availability and understanding of the specialized software needed to structure and solve the decision tree expected monetary value emv emv allows the user to calculate the weighted average expected value of an event that includes uncertain outcomes it is wellsuited to decision tree analysis emv incorporates both the probability and impact of the uncertain events emv is a simple calculation that does not require specialized software assessment of probability of risky events occurring and of their impact can be dif cult to make emv provides only the expected value of uncertain events risk decisions often require more information than emv can provide emv is sometimes used in situations where monte carlo simulation would be more appropriate and provide additional information about risk identi cation of all possible events that need to be included in the emv calculation access to historical data or expert opinions on the values of probability and impact that are needed for the calculation of emv understanding of the difference between emv and the output of simulation tools such as monte carlo analysis fmeafault tree analysis see chapter technique strengths weaknesses csfs for effective application monte carlo simulation used primarily for project schedule and cost risk analysis in strategic decisions allows all speci ed risks to vary simultaneously calculates quantitative estimates of overall project risk re ects the reality that several risks may occur together on the project provides answers to questions such as how likely is the base plan to be successful how much contingency in time and cost do we need to achieve our desired level of con dence which activities are important in determining the overall project risk schedules are not simple and often cannot be used in simulation without significant debugging by an expert scheduler the quality of the input data depends heavily on the expert judgment and the effort and expertise of the risk analyst simulation is sometimes resisted by management as being unnecessary or too sophisticated compared to traditional project management tools monte carlo simulation requires specialized software which must be acquired and learned causing a barrier to its use will produce unrealistic results unless input data include both threats and opportunities creation of a good project model typical models include the cost estimate and the schedule use summarylevel models such as project schedules and cost estimates access to high quality data on risks including the risks impact on project elements uncertain activity durations and uncertain cost elements the credibility depends on the quality of the data collected use of correct simulation tools postproject reviews lessons learned historical information see chapter system dynamics see chapter,Examples of techniques for Perform Quantitative Risk Analysis are found shown in Table D4. Details are  given in D.4.1 through D.5.,['historical information see chapter system dynamics see chapter ' 'fault tree analysis see chapter technique strengths weaknesses csfs' 'traditional project management tools monte carlo simulation requires specialized software' 'produce unrealistic results unless input data include' 'effective application monte carlo simulation used primarily' ' technique strengths weaknesses csfs' ' decision tree analysis emv incorporates ' 'effective application decision tree analysis causes' 'vary simultaneously calculates quantitative estimates' 'events speci ed using historical information' 'technique strengths weaknesses csfs' 'correct simulation tools post' ' decision tree helps select' 'specify decision tree analysis ' 'monte carlo analysis fmea' 'monte carlo simulation would' 'several risks may occur together' 'decision tree expected monetary value' 'linear expected monetary value basis' 'linear expected monetary value basis' ' input data depends heavily' 'best decision may change' 'complicated situations requires specialized' 'require specialized software assessment' 'perform quantitative risk analysis' 'simulation without significant de' 'speci ed risks' 'speci ed completely access' 'highest expected monetary value' 'good project model' 'risky events occurring' 'project provides answers ' 'historical data' 'risk decisions often require' 'specialized software needed' 'sometimes dif cult' 'typical models include' 'simulation tools' 'risk analyst simulation' 'provide additional information' 'cost risk analysis' 'sometimes used' 'using technical approaches' ' project schedule' ' possible events' ' sometimes resisted' 'specify careful structuring' 'effective application' 'cost estimates access' 'overall project risk' 'overall project risk' 'decision tree' 'linear utility function' 'linear utility function' 'historical data' ' quality data' 'quality data' 'utility function' 'level models' 'organization may ' 'organization may ' 'risk identi cation' 'relatively plausible changes' 'uncertain events emv' 'data collected use' 'uncertain activity durations' 'includes uncertain outcomes' 'input data' 'make decisions based' 'make decisions based' 'decision structure probabilities' 'schedule use summary' 'emv calculation access' 'make emv provides' 'simple calculation' 'strategic decisions allows' 'uncertain cost elements' 'expected value' 'uncertain events' 'project elements' 'management' 'expected utility' ' organization' 'project reviews' ' understanding' ' resistance' ' occurrences' ' difference' 'user ' 'risks including' 'risk ' 'decision trees' 'decision makers' 'information' 'credibility depends' 'project schedules' 'answer may' 'risk solution' 'provide emv' 'often cannot' 'emv allows' ' probability' 'organization ' 'dif cult' 'dif cult' 'dif cult' 'dif cult' 'software' 'utility functions' 'utility functions' 'results' 'emv understanding' 'desired level' 'alternative decisions' 'experts use' 'cost estimate' 'weighted average' 'though available' 'table d' 'sophisticated compared' 're ects' 'opportunities creation' 'much contingency' 'materially different' 'making availability' 'found shown' 'expert scheduler' 'expert opinions' 'con dence' 'bene ts' 'base plan' '' '' '' 'value' 'used' 'decision' 'decision' 'lessons learned' 'expert judgment' 'expected' 'may' 'provides' 'situations' 'emv' 'emv' 'emv' 'decisions' 'decisions' 'calculation' 'use' 'organization' 'cost' 'cost' 'simple' 'quality' 'quality' 'needed' 'structure' 'structure' 'schedules' 'learned' 'judgment' 'probability' 'probability' 'probability' 'well' 'values' 'validated' 'unnecessary' 'uncertainty' 'time' 'threats' 'techniques' 'suited' 'successful' 'stable' 'solve' 'reward' 'reality' 'rather' 'rather' 'questions' 'quantify' 'part' 'output' 'non' 'non' 'need' 'need' 'must' 'meaning' 'likely' 'included' 'important' 'impact' 'impact' 'impact' 'impact' 'high' 'high' 'given' 'expertise' 'examples' 'event' 'effort' 'determining' 'determined' 'details' 'create' 'costs' 'continued' 'considered' 'causing' 'calculate' 'bugging' 'barrier' 'appropriate' 'activities' 'acquired' 'achieve' 'absence' '' '' '' '' '' '' '' ''],"d.4.1.1 decision tree analysis, d.4.1.2 expected monetary value, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.1 contingency planning, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.2 risk audits, d.6.1.4 status meetings, d.6.1.5 trend analysis, d.6.1.6 variance analysis",risk structure,"decision, emv, tree, utility, datum, simulation, expect, cult, function, dif",
 ecision tree analysis,use,decision simulation,decision tree analysis is usually performed using specialized but widely available software the software allows the user to specify the structure of the decision with decision nodes chance nodes costs bene ts and probabilities the user can also evaluate the different decisions using linear utility functions based on expected monetary value or on nonlinear utility functions of various shapes an example is shown below where the negative numbers represent out ows or investments eg cots the percentages represent probabilities of the event occurring eg major problems the positive numbers represent rewards or values eg after fix the problem true indicates the decision option taken from the square decision node whereas false indicates the decision option not taken figure d example of a decision tree for choosing between an experimental technology vs commercial off the shelf cots technology source precision tree from palisade corporation,"Decision tree analysis is usually performed using specialized, but widely available software. The software allows the user to specify the structure of the decision with decision nodes, chance nodes, costs, beneﬁ ts, and probabilities. The user can also evaluate the different decisions using linear utility functions based on Expected Monetary Value or on non-linear utility functions.",['problem true indicates' 'different decisions using linear utility functions based' 'whereas false indicates' 'negative numbers represent out ows' 'usually performed using specialized' 'positive numbers represent rewards' 'linear utility functions' 'g major problems' 'taken figure d' 'percentages represent probabilities' 'expected monetary value' 'widely available software' 'experimental technology vs' 'square decision node' 'decision option taken' 'decision tree analysis' ' fix' 'g ' 'decision option' 'decision tree' 'technology source' 'software allows' 'precision tree' 'decision nodes' 'various shapes' 'palisade corporation' 'event occurring' 'chance nodes' 'bene ts' 'also evaluate' '' '' 'g' 'decision' 'probabilities' 'values' 'user' 'user' 'structure' 'specify' 'shown' 'shelf' 'non' 'investments' 'example' 'example' 'e' 'e' 'e' 'cots' 'cots' 'costs' 'commercial' 'choosing'],"d.4.1.2 expected monetary value, d.4.1.3 monte carlo simulation, d.5  techniques, examples, and templates for plan risk responses, d.5.1 techniques for plan risk response, d.5.1.2 contingency reserve estimation, d.5.1.3 multi-criteria selection techniques, d.5.1.4 scenario analysis, d.6.1 techniques for monitor and control risks process, d.6.1.1 reserve analysis, d.6.1.2 risk audits, d.6.1.4 status meetings, d.6.1.6 variance analysis",examples analysis,"decision, represent, tree, node, cot, user, technology, utility, function, problem",
